PSRJ;RAJ;DECJ;DM;P0;S400;
J0540-6919;05:40:11.2;-69:19:54.1;146.50;0.050570;0.00;
J2129+1210G;21:29:57.9;+12:09:57.3;66.40;0.037660;0.13;
J2129+1210F;21:29:57.1;+12:10:02.9;65.52;0.004027;0.14;
J2129+1210H;21:29:58.1;+12:09:59.4;67.15;0.006743;0.16;
J2243+1518;22:43:09.7;+15:18:25.1;42.13;0.596799;0.16;
J0006+1834;00:06:04.8;+18:34:59;11.41;0.693748;0.20;
J2129+1210E;21:29:58.1;+12:10:08.6;66.51;0.004651;0.24;
J0514-4002A;05:14:06.6;-40:02:48.8;52.14;0.004991;0.28;
J0308+74;03:08;+74:00;6.35;0.003160;0.30;
J1124-3653;11:24;-36:00;44.90;0.002410;0.30;
J1829+2456;18:29:34.6;+24:56:18.1;13.80;0.041010;0.30;
J1933+0758;19:33:19.4;+07:58:07.0;165.02;0.437454;0.34;
J2129+1210D;21:29:58.2;+12:09:59.7;67.30;0.004803;0.34;
J1843+2024;18:43:26.1;+20:24:54.6;85.30;3.406539;0.37;
J0857+3349;08:57:07.0;+33:49:17.0;24.00;0.242961;0.40;
J1635+2332;16:35:05.3;+23:32:23.2;37.57;1.208694;0.40;
J1907+0918;19:07:22.4;+09:18:30.7;357.90;0.226107;0.40;
J2002+1637;20:02:47.7;+16:37:16.7;94.58;0.276497;0.40;
J2015+2524;20:15:12.7;+25:24:31.3;13.00;2.303299;0.40;
J2050+1259;20:50:57.2;+12:59:09;52.40;1.221020;0.40;
J1917+0834;19:17:48.8;+08:34:54.6;29.18;2.129665;0.44;
J0102+4839;01:03;+48:00;53.50;0.002960;0.50;
J1226+0005;12:26:14.4;+00:05:44;18.50;2.285076;0.50;
J1302-32;13:02;-32:00;26.20;0.003770;0.50;
J1518+0204B;15:18:31.4;+02:05:15.4;29.47;0.007947;0.50;
J1551-0658;15:51:07.2;-06:58:06.5;21.60;0.007090;0.50;
J1721-1936;17:21:01.4;-19:36:51;75.70;1.004037;0.50;
J1822+1120;18:22:14.6;+11:20:56.2;95.20;1.787037;0.50;
J1849+2559;18:49:47.5;+25:59:57.6;75.00;0.519263;0.50;
J1905+0616;19:05:06.8;+06:16:16.7;256.05;0.989706;0.50;
J2129-0429;21:29:45.0;-04:29:05.5;16.90;0.007620;0.50;
J2329+4743;23:29:31.5;+47:43:39.7;44.01;0.728409;0.50;
J0329+1654;03:29:08.5;+16:54:02;40.82;0.893320;0.60;
J0455-6951;04:55:47.5;-69:51:34.3;94.89;0.320423;0.60;
J1735+6320;17:35:06.5;+63:20:00.0;41.85;0.510718;0.60;
J1813+1822;18:13:38.7;+18:22:15.0;60.80;0.336425;0.60;
J1901+1306;19:01:48.7;+13:06:48.3;75.10;1.830857;0.60;
J1902+0723;19:02:13.5;+07:23:51;105.00;0.487813;0.60;
J2040+1657;20:40:17.8;+16:57:30.4;50.69;0.865606;0.60;
J2129+1210C;21:30:01.2;+12:10:38.2;67.13;0.030529;0.64;
J0139+5621;01:39:38.5;+56:21:36.8;101.84;1.775344;0.70;
J1756+1822;17:56:17.5;+18:22:55.3;70.80;0.744001;0.70;
J2027+2146;20:27:16.6;+21:46:04.4;97.09;0.398173;0.70;
J1814+1130;18:14:42.7;+11:30:43.9;65.00;0.751261;0.72;
J0609+2130;06:09:58.8;+21:30:02.8;38.73;0.055698;0.80;
J1903+2225;19:03:52.9;+22:25:12.3;109.20;0.651185;0.80;
J1907+1247;19:07:10.7;+12:47:35.9;257.00;0.827097;0.80;
J1913+0936;19:13:52.7;+09:36:41.8;157.00;1.241965;0.80;
J1918+1541;19:18:07.7;+15:41:15.2;13.00;0.370883;0.80;
J1926+1928;19:26:22.8;+19:28:11.7;445.00;1.346012;0.80;
J2043+1711;20:43:20.8;+17:11:28.9;20.76;0.002380;0.80;
J0214+5222;02:14:55.2;+52:22:40.9;22.04;0.024575;0.90;
J1549+2113;15:49:40.9;+21:13:26.9;24.06;1.262471;0.90;
J1906+0746;19:06:48.8;+07:46:25.9;217.75;0.144073;0.90;
J1908+2351;19:08:31.9;+23:51:41.9;101.69;0.377578;0.90;
J2355+2246;23:55:49.8;+22:46:17;23.10;1.840986;0.90;
J0152+0948;01:52:23.7;+09:48:10;22.88;2.746647;0.91;
J0024-7204D;00:24:13.8;-72:04:43.8;24.74;0.005358;0.95;
J0045-7319;00:45:35.1;-73:19:03.0;105.40;0.926276;1.00;
